Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"National Cheng Kung University"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Brain-Derived Neurotrophic Factor; Neurogenesis; Neurons",TC.161,33,0.22,-53.7,0.98,89.692
"Block Copolymers; Micelles; Polymers",TC.112,32,0.15,-51.7,1.13,97.858
"Stroke; Patients; Cerebral Hemorrhage",TC.138,32,0.14,-21.0,1.58,89.157
"Multi Agent Systems; Motion Planning; Robots",TC.285,32,0.14,-5.1,1.08,87.416
"Tuberculosis; Mycobacterium Tuberculosis; Multidrug-Resistant Tuberculosis",TC.72,32,0.12,14.6,0.67,91.232
"Climate Models; Model; Rainfall",TC.5,32,0.05,-84.4,0.6,98.929
"Epilepsy; Seizures; Electroencephalography",TC.73,32,0.13,-91.7,0.72,90.763
"Estimator; Models; Variable Selection",TC.74,32,0.11,57.0,0.28,83.601
"Anticoagulants; Patients; Venous Thromboembolism",TC.26,32,0.1,-49.7,1.05,92.303
"Mesenchymal Stromal Cells; Stem Cells; Induced Pluripotent Stem Cells",TC.163,32,0.11,-13.3,1.08,97.657
"Autophagy; Sirolimus; Neoplasms",TC.627,32,0.23,-55.4,3.87,92.57
"Machining; Cutting; Milling (Machining)",TC.179,31,0.14,-26.6,0.46,88.286
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,31,0.2,-17.0,0.51,82.798
"Endometriosis; Ovarian Neoplasms; Endometrial Neoplasms",TC.60,31,0.11,-46.0,0.94,90.361
"Interconnection Networks; Algorithms; Fault Tolerance",TC.1366,31,1.35,-53.0,1.64,5.89
"Electrospinning; Nanofibers; Spinning (Fibers)",TC.834,31,0.34,-9.5,0.78,85.475
"Chromatin; Histones; Epigenomics",TC.201,30,0.15,69.0,0.77,96.653
"Language; Sign; Hearing",TC.1179,30,0.88,181.5,2.04,16.801
"Pain; Neuralgia; Chronic Pain",TC.140,30,0.15,-19.9,0.91,90.562
"Adsorption; Adsorbents; Activated Carbon",TC.191,30,0.13,40.3,1.28,97.189
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,29,0.17,6.4,0.69,77.845
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,29,0.13,108.4,0.74,92.436
"Boltzmann Equation; Kinetic Theory; Lattices",TC.808,29,0.49,14.9,1.09,52.075
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,29,0.16,-10.2,0.85,85.408
"Agaricales; Polysaccharides; Antioxidants",TC.639,29,0.35,-8.9,0.66,76.171
"Metamaterials; Acoustics; Phonons",TC.1431,29,0.81,-22.0,0.5,54.618
"Lymphoma; Diffuse Large B-Cell Lymphoma; Patients",TC.62,29,0.11,-30.2,1.12,90.428
"Display Devices; Liquid Crystal Displays; Imaging Techniques",TC.1012,28,0.48,40.3,1.42,29.92
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,28,0.41,163.7,1.07,67.805
"Ferrites; Saturation Magnetization; Magnetic Properties",TC.501,28,0.29,19.2,0.77,83.266
"Knee; Osteoarthritis; Cartilage",TC.120,28,0.11,-17.3,0.63,91.566
"Eye; Glaucoma; Cataract",TC.19,28,0.08,31.8,0.44,90.83
"Enterovirus; Poliomyelitis; Myocarditis",TC.871,28,0.5,-32.9,1.53,55.957
"Combustion; Combustors; Ignition",TC.256,28,0.18,-0.3,0.42,87.55
"Earthquakes; Seismology; Seismic Response",TC.226,28,0.14,-60.5,0.38,79.786
"Tides; Ocean; Ocean Currents",TC.252,27,0.22,-19.0,0.53,79.652
"Rivers; Scour; Sediment Transport",TC.468,27,0.29,8.7,0.46,67.671
"Premature Infant; Infant (Newborn); Neonatal Intensive Care Units",TC.299,27,0.21,-48.0,0.98,77.309
"Health; Socioeconomic Factors; Mortality",TC.537,27,0.27,-78.1,1.03,75.301
"Salmonella; Escherichia Coli; Listeria Monocytogenes",TC.40,27,0.1,-37.5,0.7,93.641
"Computer Crime; Network Security; Intrusion Detection",TC.218,27,0.09,-29.2,0.85,88.822
"Vascular Stiffness; Pulse Wave Analysis; Blood Pressure",TC.874,27,0.37,-68.1,0.87,58.568
"Drops; Hydrophobicity; Contact Angle",TC.374,27,0.17,-72.9,0.41,95.181
"Analgesia; Nerve Block; Bupivacaine",TC.305,27,0.23,495.7,0.89,64.324
"Microtubules; Cilia; Phosphotransferases",TC.393,27,0.24,-53.0,1.08,85.074
"Pancreatic Neoplasms; Pancreatitis; Patients",TC.51,26,0.09,39.3,4.18,89.893
"Gravitation; Black Holes (Astronomy); Models",TC.15,26,0.07,-22.1,0.52,95.716
"Cells; Drosophila; Neoplasms",TC.110,26,0.11,-4.5,1.96,94.645
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,26,0.1,268.0,0.66,91.834
"Electricity; Energy; Economics",TC.81,26,0.07,-26.6,0.74,98.594
