Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"University of Massachusetts"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Cataract; HSP90 Heat-Shock Proteins; Lenses",TC.484,16,0.25,360.5,2.42,65.596
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,16,0.08,121.2,0.96,79.183
"Manifold; Curvature; Metric",TC.158,15,0.07,105.8,1.11,63.788
"Theatre; Fiction; Introduction",TC.547,15,0.16,-75.9,0.42,9.906
"Kisspeptins; Gonadotropin-Releasing Hormone; Estradiol",TC.379,15,0.29,-18.4,1.93,58.701
"Apples; Cultivars; Trees",TC.472,15,0.25,14.3,0.57,44.846
"Scheduling; Algorithms; Optimization",TC.192,15,0.08,115.1,1.1,83.199
"Cell Adhesion; Brushes; Surface Plasmon Resonance",TC.1044,15,0.4,354.6,1.31,60.91
"Lipid Bilayers; Membranes; Lipids",TC.529,15,0.22,-36.5,0.92,79.317
"Justice; Theory; Human Rights",TC.570,15,0.15,246.6,0.75,39.759
"Strawberries; Cultivars; Blueberries",TC.1214,15,0.63,147.6,0.79,17.135
"Drying; Moisture Determination; Thermal Processing (Foods)",TC.405,15,0.14,66.7,1.0,79.853
"Cambrian; Cretaceous; Ordovician",TC.44,15,0.13,24.0,1.87,75.502
"Ising Model; Models; Lattices",TC.400,15,0.21,23.9,1.05,47.925
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,15,0.08,-17.6,0.54,86.412
"Students; Teaching; Education; Computer Science",TC.559,15,0.16,382.1,2.2,53.414
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,15,0.08,-,1.91,94.511
"Verification; Model Checking; Semantics",TC.96,15,0.06,9.7,1.71,70.549
"China; Chinese; Hong Kong",TC.471,14,0.14,-63.6,0.88,48.862
"Smoking; Tobacco Products; Smoking Cessation",TC.205,14,0.07,-,1.47,89.826
"Ankle; Foot; Diabetic Foot",TC.319,14,0.11,43.5,0.7,66.801
"Humor; Conversation Analysis; Politeness",TC.530,14,0.14,163.6,0.76,47.858
"Teachers; Language; Student",TC.265,14,0.07,-80.8,2.76,73.36
"Roman; Rome; Ancient",TC.114,14,0.11,221.1,1.75,11.178
"Chitosan; Chitin; Chitinase",TC.1065,14,0.27,47.1,1.45,70.08
"Quantum Optics; Quantum Computers; Quantum Theory",TC.57,14,0.04,-8.4,1.1,96.185
"Speech; Speech Recognition; Models",TC.156,14,0.06,-,7.47,82.999
"Cycloaddition; Synthesis (Chemical); Cycloaddition Reaction",TC.798,14,0.63,32.1,3.12,42.637
"Algebra; Fuzzy; Semigroup",TC.753,14,0.25,37.4,1.57,18.942
"Malaria; Plasmodium Falciparum; Parasites",TC.180,14,0.08,-100.0,0.85,89.424
"Court; Law; Supreme Court",TC.234,14,0.12,-51.5,0.83,34.672
"Foams; Energy Absorption; Crashworthiness",TC.803,14,0.16,144.4,4.07,72.758
"Concretes; Compressive Strength; Cements",TC.68,14,0.04,-21.5,1.56,97.122
"European Union (EU); Europe; Governance",TC.505,14,0.13,-36.4,2.93,46.319
"Electromagnetic Compatibility; Electromagnetic Pulse; Reverberation",TC.838,14,0.23,-29.9,4.72,24.096
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,13,0.07,79.6,1.03,85.408
"Alzheimer Disease; Dementia; Amyloid",TC.32,13,0.03,25.3,2.26,98.795
"Airports; Air Transportation; Aircraft",TC.763,13,0.18,-12.7,0.64,48.594
"Membranes; Desalination; Ultrafiltration",TC.223,13,0.07,2.6,1.28,97.925
"Students; Science; Learning",TC.230,13,0.08,-0.5,1.14,70.75
"Plants; Introduced Species; Invasive Species",TC.958,13,0.26,-55.3,2.16,63.655
"Artificial Intelligence; Algorithms; Semantics",TC.411,13,0.12,4.4,1.12,52.878
"Phosphors; Luminescence; Light Emission",TC.91,13,0.05,-4.7,3.65,96.252
"Glass Transition; Molecular Dynamics; Chains",TC.761,13,0.25,-29.0,1.27,67.738
"Housing; Neighborhood; Gentrification",TC.281,13,0.09,-21.8,0.9,74.565
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,13,0.06,-55.8,0.81,93.44
"Optimization; Uncertainty Analysis; Reliability Analysis",TC.683,13,0.14,-69.8,1.44,60.107
"Human Engineering; Ergonomics; Automation",TC.588,13,0.14,291.9,1.36,56.961
"Pervasive Child Development Disorders; Autistic Disorder; Child",TC.139,13,0.05,-12.0,1.48,93.976
"International Relations; Security; Politics",TC.548,13,0.14,384.9,0.87,36.814
"Trade Unions; Workers; Labor",TC.524,13,0.2,95.0,1.69,30.723
"Botswana; Rock Art; Southern Africa",TC.1190,12,0.44,-19.5,1.99,14.926
"Agents; Multi Agent Systems; Models",TC.521,12,0.16,134.9,1.6,39.224
"Water; Water Resources; Water Management",TC.527,12,0.12,-87.0,1.87,79.585
"Electronic Health Records; Medical Informatics; Delivery Of Health Care",TC.346,12,0.09,-34.9,0.66,71.419
"Stormwater; Storm Sewers; Rainwater",TC.876,12,0.19,-100.0,3.88,67.403
"Pneumonia; Streptococcus Pneumoniae; Anti-Bacterial Agents",TC.159,12,0.08,190.6,1.71,82.798
"Clusters; Density Functional Theory; Quantum Chemistry",TC.568,12,0.23,-47.2,0.53,63.052
"China; Asia; Chinese",TC.495,12,0.12,161.5,1.46,42.503
"Victorian; Fiction; Women",TC.728,12,0.18,-,0.78,4.552
"Alcohols; Cannabis; Drinking",TC.174,12,0.07,-,2.06,84.94
"Micelles; Surface Active Agents; Critical Micelle Concentration",TC.406,12,0.18,139.7,0.73,67.871
"Ubiquitins; Endoplasmic Reticulum Stress; Proteasome Endopeptidase Complex",TC.687,12,0.13,80.5,1.72,83.869
"Metallic Glass; Amorphous Alloys; Alloys",TC.361,12,0.12,-,1.86,86.68
"Women; Dysmenorrhea; Female Circumcision",TC.1360,12,0.4,41.9,1.67,30.187
"Scabies; Mites; Pediculus",TC.1398,12,0.62,4.1,1.34,9.705
"Emergencies; Patients; Hospitals",TC.675,12,0.14,-79.2,0.91,57.965
"Multi Agent Systems; Motion Planning; Robots",TC.285,12,0.05,-79.2,1.68,87.416
"Breads; Starch; Glutens",TC.169,12,0.07,57.8,1.27,91.299
"Students; Engineering; Education",TC.306,12,0.11,-31.9,1.5,45.315
"Soviet; Holocaust; Russia",TC.469,12,0.12,-4.3,0.5,13.32
"Sensors; Accelerometers; Smartphones",TC.880,12,0.12,23.6,1.35,69.813
"Insulin; Type 2 Diabetes Mellitus; Glucose",TC.46,12,0.03,-46.7,0.6,97.724
"Hausdorff Dimension; Map; Entropy",TC.599,12,0.18,85.0,0.35,19.545
"Polyelectrolytes; Colloids; Dynamic Light Scattering",TC.1006,11,0.42,-51.0,1.06,35.074
"Students; Medical Students; Education",TC.43,11,0.03,-61.7,1.58,91.901
"Nuclei; Neutrons; Reaction",TC.83,11,0.07,-42.8,0.76,75.167
"Attention Deficit Disorder With Hyperactivity; Child; Methylphenidate",TC.721,11,0.16,97.8,1.5,67.805
"Thyroid Neoplasms; Thyroid Gland; Thyroidectomy",TC.76,11,0.05,-7.3,2.3,89.357
"North American Indians; Residence Characteristics; Health",TC.833,11,0.18,-10.8,1.8,54.953
"Research; Clinical Trials As Topic; Patients",TC.463,11,0.11,17.3,0.59,62.048
"Iron; Anemia; Erythropoietin",TC.238,11,0.08,-51.4,0.94,83.133
"Nanocrystals; Semiconductor Quantum Dots; Zinc Sulfide",TC.177,11,0.04,-100.0,0.58,97.456
"Archaeology; Shipwrecks; Archaeological",TC.990,11,0.26,-,0.79,11.446
"Writing; Students; Communication",TC.1102,11,0.29,21.4,1.97,13.722
"Adsorption; Activated Carbon; Adsorbents",TC.772,11,0.19,-100.0,1.02,78.849
"Public Health; Residence Characteristics; Evaluation Studies As Topic",TC.745,11,0.17,-100.0,0.27,42.905
"Design; Product Design; Product Development",TC.263,11,0.07,-100.0,1.27,69.478
"Toxicology; Pharmaceutical Preparations; Risk Assessment",TC.970,11,0.28,95.5,3.54,53.882
"Basin; Reservoir; Shale",TC.213,11,0.07,82.6,1.15,77.577
