Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Proteins; Molecular Dynamics Simulation; Molecular Dynamics",TC.108,22173,1.25,94.846
"Acute Myeloid Leukemia; Patients; Precursor Cell Lymphoblastic Leukemia-Lymphoma",TC.134,22065,1.06,92.436
"Forests; Landscapes; Plants",TC.151,21980,1.31,94.712
"Block Copolymers; Micelles; Polymers",TC.112,21967,1.34,97.858
"Magnetic Resonance Imaging; Brain; Diffusion",TC.181,21812,1.32,93.373
"Fisheries; Sharks; Fish",TC.63,21775,1.04,90.228
"Magnetic Anisotropy; Magnetization; Magnetism",TC.105,21451,1.07,93.44
"Delivery Of Health Care; Patients; Hospitals",TC.160,21374,1.1,86.078
"Fluorescence; Probes; Supramolecular Chemistry",TC.248,21263,1.44,97.992
"Oral Health; Periodontitis; Dental Caries",TC.125,20963,0.9,84.605
"Teacher; School; Education",TC.150,20944,1.04,74.967
"Microfluidics; Fluidic Devices; Microchannels",TC.197,20784,1.02,95.917
"Silicon Solar Cells; Solar Cells; Silicon",TC.97,20683,0.82,88.889
"Birds; Nests; Seabirds",TC.41,20663,0.98,89.759
"Exergy; Heat Pump Systems; Rankine Cycle",TC.271,20619,1.16,96.051
"Finite Element Method; Galerkin Methods; Errors",TC.154,20554,0.98,80.321
"Decision Making; Fuzzy Sets; Models",TC.211,20524,1.18,88.621
"Transplants; Tissue Donors; Kidney Transplantation",TC.98,20507,0.9,83.333
"Manifold; Curvature; Metric",TC.158,20244,1.0,63.788
"Photonic Crystals; Photonics; Waveguides",TC.203,20217,0.99,86.345
"Urinary Bladder; Overactive Urinary Bladder; Women",TC.117,20170,0.76,80.054
"Vitamin D; Vitamin D Deficiency; Parathyroid Hormone",TC.187,19930,1.12,89.625
"Earthquakes; Seismology; Seismic Response",TC.226,19875,0.74,79.786
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,19854,1.18,96.988
"Pain; Neuralgia; Chronic Pain",TC.140,19731,1.12,90.562
"Aortic Valve; Mitral Valve; Aortic Valve Stenosis",TC.243,19727,1.07,86.814
"Solar Energy; Photovoltaic Cells; Solar Radiation",TC.340,19704,1.15,94.511
"Allergens; Hypersensitivity; Atopic Dermatitis",TC.116,19649,1.01,90.629
"Membranes; Desalination; Ultrafiltration",TC.223,19634,1.2,97.925
"Media; News; Journalism",TC.279,19576,1.39,81.593
"Optimization; Algorithms; Evolutionary Algorithms",TC.259,19549,1.22,82.195
"Publications; Periodicals As Topic; Research",TC.275,19517,0.98,84.27
"Chromatin; Histones; Epigenomics",TC.201,19427,1.35,96.653
"Candida; Infection; Candida Albicans",TC.115,19361,0.91,85.207
"Composite Materials; Laminates; Fiber Reinforced Plastics",TC.183,19347,0.91,86.613
"Hepatocellular Carcinoma; Liver; Neoplasms",TC.182,19341,0.99,86.011
"Teachers; Language; Student",TC.265,19278,1.27,73.36
"Shoulder; Rotator Cuff; Tendons",TC.241,19273,0.83,77.242
"Pharmacists; Pharmaceutical Preparations; Pharmacy",TC.199,19268,0.91,79.183
"DNA Repair; DNA Damage; Neoplasms",TC.104,19161,1.04,93.574
"Tourism; Tourists; Destination",TC.239,19023,1.01,85.743
"Helicobacter Pylori; Gastroesophageal Reflux; Helicobacter Infections",TC.90,19011,0.92,85.944
"Design; Networks (Circuits); Field Programmable Gate Arrays (FPGA)",TC.148,18908,0.93,62.784
"Smoking; Tobacco Products; Smoking Cessation",TC.205,18862,1.38,89.826
"Scheduling; Algorithms; Optimization",TC.192,18626,0.98,83.199
"Sepsis; Acute Kidney Injury; Patients",TC.251,18565,1.3,88.153
"Semiconductor Quantum Dots; Semiconductor Quantum Wells; Gallium Arsenide",TC.59,18543,0.78,86.412
"Silicon Carbide; Sintering; Ceramic Materials",TC.121,18475,0.78,88.086
"Gallium Nitride; Light Emitting Diodes; High Electron Mobility Transistors",TC.208,18460,0.9,87.149
"Morals; Research; Behavior",TC.267,18448,1.37,88.019
"Wind Turbines; Wind Power; Asynchronous Generators",TC.423,18348,1.02,85.609
"Radiation; Tomography; Medical Imaging",TC.245,18069,0.99,79.116
"Synchronization; Chaotic Systems; Chaos Theory",TC.210,18015,1.33,85.408
"Welding; Friction Stir Welding; Welds",TC.270,17858,0.86,84.672
"Offense; Police; Offender",TC.207,17830,1.42,75.234
"Uterine Cervical Neoplasms; Papillomavirus Infections; Women",TC.189,17818,1.03,83.802
"Tea; Polyphenols; Anthocyanins",TC.294,17788,1.15,94.11
"Liver Transplantation; Liver; Fibrosis",TC.144,17717,0.82,81.526
"Insulators; Quantum Dots; Spin",TC.186,17693,1.36,93.775
"Superconductors (Materials); Superconducting Materials; Superconductivity",TC.50,17651,0.95,89.29
"Glioma; Neoplasms; Glioblastoma",TC.222,17643,1.02,86.546
"Hydroxyapatite; Calcium Phosphate; Scaffolds",TC.247,17631,1.07,93.507
"Alcohols; Reward; Cocaine",TC.132,17358,1.28,92.771
"Breads; Starch; Glutens",TC.169,17342,0.87,91.299
"Students; Science; Learning",TC.230,17278,0.92,70.75
"Magnetoplasma; Tokamak Devices; Plasmas",TC.185,17272,0.94,77.845
"RNA; Ribosomes; Proteins",TC.171,17267,1.2,95.315
"Obesity; Leptin; Adiponectin",TC.257,17179,1.21,91.633
"Spermatozoa; Semen; Oocytes",TC.94,17098,0.97,84.337
"Partial Discharges; Insulation; Power Transformers",TC.297,17088,0.71,68.34
"Alcohols; Cannabis; Drinking",TC.174,17073,1.01,84.94
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,17068,1.17,90.495
"Ligands; Ruthenium; Catalysts",TC.75,17056,1.33,97.791
"Boiling Liquids; Heat Transfer; Two Phase Flow",TC.273,17028,0.78,82.262
"Brain Injuries; Wounds And Injuries; Patients",TC.258,17013,1.21,87.015
"Corrosion; Carbon Steel; Corrosion Inhibitors",TC.196,16770,0.74,82.463
"Quantum Chemistry; Density Functional Theory; Molecular Orbitals",TC.145,16693,1.18,91.365
"Malaria; Plasmodium Falciparum; Parasites",TC.180,16682,1.11,89.424
"Melanoma; Skin Neoplasms; Neoplasms",TC.233,16633,1.11,80.924
"Post-Traumatic Stress Disorders; Wounds And Injuries; Disasters",TC.283,16524,0.98,83.936
"Heavy Metals; Soils; Cadmium",TC.214,16524,0.95,90.161
"Glaciers; Holocene; Glacial Geology",TC.103,16443,1.37,91.098
"Hypertension; Blood Pressure; Patients",TC.157,16391,1.05,82.932
"Systemic Lupus Erythematosus; Systemic Scleroderma; Patients",TC.162,16352,1.0,84.003
"Construction; Construction Industry; Project Management",TC.295,16296,1.04,85.007
"MEMS; Gyroscopes; Resonators",TC.246,16271,1.01,78.983
"Echinococcosis; Schistosomiasis; Parasites",TC.109,16223,0.83,79.92
"Proteomics; Mass Spectrometry; Proteins",TC.227,16217,1.22,92.503
"Seismic Waves; Seismology; Seismic Data",TC.371,16170,0.89,51.138
"Graph In Graph Theory; Coloring; Graphic Methods",TC.262,16132,0.93,59.505
"Industry; Information Systems; Research",TC.254,16112,1.01,76.238
"Nuclei; Neutrons; Reaction",TC.83,16026,0.72,75.167
"Neoplasms; Sarcoma; Bone And Bones",TC.193,16020,0.61,68.742
"Cheeses; Caseins; Milk",TC.178,15869,1.14,93.842
"Dairy Cows; Cows; Mastitis",TC.136,15788,0.95,80.857
"Basin; Reservoir; Shale",TC.213,15735,0.83,77.577
"Depression; Bipolar Disorder; Major Depressive Disorder",TC.175,15705,1.25,88.688
"Escherichia Coli; Bacteria; Quorum Sensing",TC.198,15614,1.1,92.838
