Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"Instituto Tecnologico de Estudios Superiores de Monterrey"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019

,,At this Institution,,,,Worldwide
Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Growth (%),Field-Weighted Citation Impact,Prominence percentile
"Rubber; Elastomers; Butadiene",TC.634,5,0.08,-100.0,0.18,63.722
"Vehicles; Accident Prevention; Highway Accidents",TC.315,5,0.03,-,0.52,73.695
"Neoplasms; Patients; Palliative Care",TC.77,5,0.02,-,0.61,95.047
"Gambling; Internet; Students",TC.555,5,0.04,-100.0,0.38,87.751
"Proton Exchange Membrane Fuel Cells (PEMFC); Electrocatalysts; Electrolytic Reduction",TC.229,5,0.03,110.2,1.27,96.988
"Mitochondria; Mitochondrial DNA; Mutation",TC.320,5,0.04,-,0.66,88.554
"Potential; Parity; Equations",TC.927,5,0.12,-,0.82,38.889
"Selenium; Selenoproteins; Sodium Selenite",TC.830,5,0.1,0.5,1.06,63.588
"Education; Wages; Inequality",TC.657,5,0.06,-,0.25,59.973
"Microfinance; Farmers; Cooperative",TC.532,5,0.06,-,0.1,57.764
"Phosphines; Tribolium Castaneum; Coleoptera",TC.1199,5,0.19,-100.0,0.9,22.423
"Tourism; Tourists; Destination",TC.239,5,0.03,-,0.16,85.743
"Liver Transplantation; Liver; Fibrosis",TC.144,5,0.03,-,0.91,81.526
"Solitons; Waves; Nonlinear Equations",TC.235,5,0.04,-,0.68,72.49
"Glucosinolates; NF-E2-Related Factor 2; Brassica",TC.1276,5,0.11,-,1.29,65.93
"Antibodies; Pharmaceutical Preparations; Neoplasms",TC.788,5,0.09,-,0.69,76.037
"Cinema; African; Race",TC.442,5,0.06,-,1.21,19.076
"Justice; Theory; Human Rights",TC.570,5,0.05,-,0.33,39.759
"Public Relations; Social Media; Industry",TC.969,5,0.09,-100.0,0.57,47.523
"Genes; Gene Regulatory Networks; Gene Expression",TC.362,5,0.03,-,0.94,90.495
"Alzheimer Disease; Dementia; Amyloid",TC.32,5,0.01,-16.5,0.97,98.795
"Concretes; Compressive Strength; Cements",TC.68,5,0.01,-100.0,0.77,97.122
"Pregnancy; Pre-Eclampsia; Women",TC.85,4,0.02,-,0.47,90.696
"Decision Making; Fuzzy Sets; Models",TC.211,4,0.02,-2.5,0.69,88.621
"Buckling; Vibration Analysis; Functionally Graded Materials",TC.240,4,0.03,-100.0,0.34,81.861
"Energy Harvesting; Harvesters; Piezoelectricity",TC.1142,4,0.06,-,0.79,62.45
"Magnesium Alloys; Alloys; Aluminum Alloys",TC.106,4,0.01,-100.0,0.36,91.834
"Breast Neoplasms; Genetic Testing; Risk",TC.587,4,0.04,-,0.74,80.991
"Idiopathic Pulmonary Fibrosis; Interstitial Lung Diseases; Langerhans-Cell Histiocytosis",TC.673,4,0.05,-,2.52,59.639
"Telemedicine; Technology; Patients",TC.851,4,0.07,-,0.59,50.535
"Spine; Patients; Low Back Pain",TC.23,4,0.01,-,0.57,93.039
"Accident Prevention; Accidents; Safety Engineering",TC.638,4,0.05,-,0.65,54.284
"Inflammasomes; Inflammation; Toll-Like Receptor 4",TC.551,4,0.04,80.4,0.99,86.948
"Ring; Module; Ideal",TC.1205,4,0.14,-,1.04,2.276
"France; Education; Work",TC.504,4,0.05,-,0.53,27.778
